Codigo,Gasto,Categoria
CI.1.1,JEFE DE GRUPO,INDEFINIDO
CI.1.2,JEFE DE OBRA,INDEFINIDO
CI.1.3,ENCARGADO,INDEFINIDO
CI.1.7,JEFE PRODUCCIÓN,INDEFINIDO
CI.1.7_1,JEFE PRODUCCIÓN,INDEFINIDO
CI.1.5,ADMINISTRATIVO,INDEFINIDO
CI.1.6,TOPOGRAFIA,INDEFINIDO
CI.1.8,CAPATAZ,INDEFINIDO
CI.1.9,OFICIAL APOYO,INDEFINIDO
CI.1.18,OFICIAL APOYO,INDEFINIDO
CL.1.10,OF. GRUISTA,INDEFINIDO
CI.1.11,PEÓN APOYO,INDEFINIDO
CL.1.13,VIGILANTE SEGURIDAD,INDEFINIDO
CL.1.16,TECNICO PREVENCION,INDEFINIDO
CL.1.17,INGENIERO INSTALACIONES,INDEFINIDO
CI.03P.9,VEHICULOS,INDEFINIDO
CI.03A.2,ANDAMIOS/MEDIOS AUX,INDEFINIDO
CI.03A.3,ANDAMIOS/MEDIOS AUX,INDEFINIDO
CI.03A.4,ANDAMIOS/MEDIOS AUX,INDEFINIDO
CI.03A.7,CONTENEDORES,GRUPO ELECTRÓGENO
CI.03A.1,GRUA TORRE,GRUPO ELECTRÓGENО
CI.03A.8,CAMION GRUA,GRUPO ELECTRÓGENO
CI.03A.6,GRUPO ELECTROGENO,GRUPO ELECTRÓGENO
CI.03A.10,RESTO MAQUINARIA,GRUPO ELECTRÓGENO
CI.4.1,COMBUSTIBLES,GRUPO ELECTRÓGENO
CI.4.2,AGUA,GRUPO ELECTRÓGENO
CI.4.9,AGUA,GRUPO ELECTRÓGENO
CI.4.3,ELECTRICIDAD,GRUPO ELECTRÓGENO
CI.4.15,CAJA DE OBRA,GRUPO ELECTRÓGENO
CI.4.6,REPROGRAFÍA/PAPELERIA,GRUPO ELECTRÓGENO
CI.4.7,REPROGRAFÍA/PAPELERIA,GRUPO ELECTRОGENO
CI.4.8,REPROGRAFÍA/PAPELERIA,GRUPO ELECTRÓGENO
CI.4.5,RESTO CONSUMOS,GRUPO ELECTRÓGENO
CI.4.13,RESTO CONSUMOS,GRUPO ELECTRÓGENO
CI.4.14,RESTO CONSUMOS,GRUPO ELECTRÓGENO
CI.4.18,FERRETERIA,GRUPO ELECTRÓGENO
CI.4.19,PALETS,ALQUILER PISO
