Codigo,Gasto,Categoria
CI.1.1,JEFE DE GRUPO,INDEFINIDO
CI.1.2,JEFE DE OBRA,INDEFINIDO
CI.1.3,ENCARGADO,INDEFINIDO
CI.1.3_1,ENCARGADO,INDEFINIDO
CI.1.4,JEFE PRODUCCIÓN,INDEFINIDO
CI.1.5,ADMINISTRATIVO,INDEFINIDO
CI.1.6,TOPOGRAFIA,INDEFINIDO
CI.1.7,RESPONSABLE PRODUCCIÓN,INDEFINIDO
CI.1.8,CAPATAZ,INDEFINIDO
CI.1.9,OFICIAL APOYO,INDEFINIDO
CI.1.10,GRUISTA,VIGILANTE SEGURIDAD
CI.1.11,PEÓN APOYO,VIGILANTE SEGURIDAD
CI.1.13,VIGILANTE SEGURIDAD,VIGILANTE SEGURIDAD
CI.1.16,TECNICO PREVENCION,VIGILANTE SEGURIDAD
CI.1.17,INGENIERO INSTALACIONES,VIGILANTE SEGURIDAD
CI.1.20,INGENIERO INSTALACIONES,VIGILANTE SEGURIDAD
CI.1.18,OFICINA TÉCNICA,VIGILANTE SEGURIDAD
CI.1.19,TÉCNICO BREEAM,VIGILANTE SEGURIDAD
CI.03P.9,VEHICULOS,VIGILANTE SEGURIDAD
CI.03A.2,ANDAMIOS/MEDIOS AUX,VIGILANTE SEGURIDAD
CI.03A.6,GRUPO ELECTRÓGENO,VIGILANTE SEGURIDAD
CI.03A.5,ALQUILER MAQUINARIA,CAMIÓN GRUA
CI.03A.10,ALQUILER MAQUINARIA,CAMIÓN GRUA
CI.03A.14,TORITO,CAMIÓN GRUA
CI.03A.1,ALQUILER GRUA TORRE,CAMIÓN GRUA
CI.4.1,COMBUSTIBLES,CAMIÓN GRUA
CI.4.1.1,COMBUSTIBLES,CAMIÓN GRUA
CI.4.2,AGUA,CAMIÓN GRUA
CI.4.9,AGUA,CAMIÓN GRUA
CI.4.3,ELECTRICIDAD,CAMIÓN GRUA
CI.4.15,CAJA DE OBRA,CAMIÓN GRUA
CI.4.6,REPROGRAFÍA/PAPELERIA,CAMIÓN GRUA
CI.4.7,REPROGRAFÍA/PAPELERIA,CAMIÓN GRUA
CI.4.8,REPROGRAFÍA/PAPELERIA,CAMIÓN GRUA
CI.4.5,RESTO CONSUMOS,CAMIÓN GRUA
CI.4.13,RESTO CONSUMOS,CAMIÓN GRUA
CI.4.14,RESTO CONSUMOS,CAMIÓN GRUA
CI.4.18,FERRETERIA,CAMIÓN GRUA
CI.4.20,LIMPIEZA CASETAS,LIMPIEZA CASETAS
CI.4.19,PALETS,LIMPIEZA CASETAS
