Codigo,Gasto,Categoria
CI.1.1,JEFE DE GRUPO,INDEFINIDO
CI.1.2,JEFE DE OBRA,INDEFINIDO
CI.1.3,ENCARGADO,INDEFINIDO
CI.1.4,JFE DE OBRA 2,INDEFINIDO
CI.1.5,ADMINISTRATIVO,INDEFINIDO
CI.1.6,TOPOGRAFIA,INDEFINIDO
CI.1.8,CAPATAZ,INDEFINIDO
CI.1.9,OFICIAL APOYO,INDEFINIDO
CL.1.12,PEÓN APOYO,INDEFINIDO
CI.1.11,MAQUINISTA,INDEFINIDO
CL.1.13,VIGILANTE SEGURIDAD,INDEFINIDO
CL.1.16,TECNICO PREVENCION,INDEFINIDO
CL.1.17,INGENIERO INSTALACIONES,INDEFINIDO
CI.03P.9,VEHICULOS,INDEFINIDO
CI.03A.7,CONTENEDORES,GRUPO ELECTRÓGENO
CI.03A.8,CAMIÓN GRUA,GRUPO ELECTRÓGENO
CI.03A.10,ALQUILER MAQUINARIA,GRUPO ELECTRÓGENO
CI.03A.12,MANITOU,GRUPO ELECTRÓGENO
CI.03A.2,MEDIOS AUXILIARES,GRUPO ELECTRÓGENO
CI.4.1,COMBUSTIBLES,GRUPO ELECTRÓGENO
CI.4.1.2,COMBUSTIBLES,GRUPO ELECTRÓGENO
CI.4.2,AGUA,GRUPO ELECTRÓGENO
CI.4.3,ELECTRICIDAD,GRUPO ELECTRÓGENO
CI.4.15,CAJA DE OBRA,GRUPO ELECTRÓGENO
CI.4.6,REPROGRAFÍA/PAPELERIA,GRUPO ELECTRÓGENO
CI.4.8,REPROGRAFÍA/PAPELERIA,GRUPO ELECTRÓGENO
CI.4.5,RESTO CONSUMOS,GRUPO ELECTRÓGENO
CI.4.13,RESTO CONSUMOS,GRUPO ELECTRÓGENO
CI.4.14,RESTO CONSUMOS,GRUPO ELECTRÓGENO
CI.4.9,RESTO CONSUMOS,GRUPO ELECTRÓGENO
CI.4.18,FERRETERIA,GRUPO ELECTRÓGENO
CI.4.20,LIMPIEZA DE OBRA,GRUPO ELECTRÓGENO
CI.4.19,PALETS,GRUPO ELECTRÓGENO
