Codigo,Gasto,Categoria
CI.00,INDIRECTOS PREVIOS,INDEFINIDO
CL.1.1,JEFE DE GRUPO,INDEFINIDO
CI.1.2,JEFE DE OBRA,INDEFINIDO
CL.1.3,ENCARGADO,INDEFINIDO
CI.1.4,JEFE PRODUCCIÓN INST.,INDEFINIDO
CI.1.4.2,RESPONSABLE PRODUCCION,INDEFINIDO
CL.1.4.1,OFICINA TECNICA,INDEFINIDO
CL.1.3.1,JEFE PRODUCCION OC,INDEFINIDO
CI.1.4.3,JEFE PRODUCCION OC,INDEFINIDO
CL.1.5,ADMINISTRATIVO,INDEFINIDO
CL.1.6,TOPOGRAFIA,INDEFINIDO
CL.1.7,GESTOR DE CAMBIOS,INDEFINIDO
CL.1.10,OFICIAL APOYO,INDEFINIDO
CL.1.8,CAPATAZ,INDEFINIDO
CI.1.8.1,CAPATAZ,INDEFINIDO
CI.1.8.2,CAPATAZ,INDEFINIDO
CL.1.9,GRUISTA,INDEFINIDO
CL.1.11,PEON,INDEFINIDO
CL.1.13,VIGILANTE SEGURIDAD,INDEFINIDO
CL.1.14,ASESOR BREEAM,INDEFINIDO
CL.1.16,TECNICO PREVENCION,INDEFINIDO
CI.1.16.1,TECNICO PREVENCION,INDEFINIDO
CL.1.17,INGENIERO INSTALACIONES,INDEFINIDO
CI.1.4.4,INGENIERO INSTALACIONES,INDEFINIDO
CL.1.18,TECNICO BIM,INDEFINIDO
CI.03P.9,VEHICULOS,INDEFINIDO
CI.03A.3,ANDAMIOS/PLATAFORMAS,INDEFINIDO
CI.03A.11,ANDAMIOS/PLATAFORMAS,INDEFINIDO
CI.03A.6,GRUPO ELECTRÓGENO,INDEFINIDO
CI.03A.8,CAMIÓN GRUA,CONTENEDORES
CI.03A.10,ALQUILER MAQUINARIA,CONTENEDORES
CI.03A.12,MANITOU,CONTENEDORES
CI.03A.14,MANITOU,CONTENEDORES
CI.03A.1,ALQUILER GRUA TORRE,CONTENEDORES
CI.4.1,COMBUSTIBLES,CONTENEDORES
CI.4.2,AGUA,CONTENEDORES
CI.4.9,AGUA,CONTENEDORES
CI.4.3,ELECTRICIDAD,CONTENEDORES
CI.4.15,CAJA DE OBRA,CONTENEDORES
CI.4.6,REPROGRAFÍA/PAPELERIA,CONTENEDORES
CI.4.8,REPROGRAFÍA/PAPELERIA,CONTENEDORES
CI.4.6,RESTO CONSUMOS,CONTENEDORES
CI.4.5,RESTO CONSUMOS,CONTENEDORES
CI.4.18,FERRETERIA,CONTENEDORES
CI.4.19,PALETS,ALQUILER PISO
