Codigo,Gasto,Categoria
CI.1.1,JEFE DE GRUPO,INDEFINIDO
CI.1.2,JEFE DE OBRA,INDEFINIDO
CI.1.2B,JEFE DE OBRA PREVIO,INDEFINIDO
CI.1.3,ENCARGADO,INDEFINIDO
CI.1.4,JEFE PRODUCCIÓN,INDEFINIDO
CI.1.5,ADMINISTRATIVO,INDEFINIDO
CI.1.6,TOPOGRAFIA,INDEFINIDO
CI.1.8,CAPATAZ,INDEFINIDO
CI.1.10,OFICIAL GRUISTA,INDEFINIDO
CI.1.10b,OFICIAL GRUISTA,INDEFINIDO
CI.1.10c,OFICIAL GRUISTA,INDEFINIDO
CI.1.9,OFICIAL APOYO,INDEFINIDO
CI.1.11,OFICIAL APOYO,INDEFINIDO
CI.1.18,PEÓN APOYO,INDEFINIDO
CI.1.13,VIGILANTE SEGURIDAD,MAQUINISTA
CI.1.16,TECNICO PREVENCION,MAQUINISTA
CI.1.17,INGENIERO INSTALACIONES,MAQUINISTA
CI.03P.9,VEHICULOS,MAQUINISTA
CI.03A.3,ANDAMIOS/PLATAFORMAS,MAQUINISTA
CI.03A.6,GRUPO ELECTRÓGENO,MAQUINISTA
CI.03A.7,CONTENEDORES,MAQUINISTA
CI.03A.8,CAMION GRUA,MAQUINISTA
CI.03A.10,ALQUILER MAQUINARIA,MAQUINISTA
CI.03A.11,ALQUILER MAQUINARIA,MAQUINISTA
CI.03A.4,MAQ MOV TIERRAS,MAQUINISTA
CI.03A.1,ALQUILER GRUA TORRE,MAQUINISTA
CI.4.1,COMBUSTIBLES,MAQUINISTA
CI.4.2,AGUA,MAQUINISTA
CI.4.3,ELECTRICIDAD,MAQUINISTA
CI.4.15,CAJA DE OBRA,MAQUINISTA
CI.4.6,REPROGRAFÍA/PAPELERIA,MAQUINISTA
CI.4.8,REPROGRAFÍA/PAPELERIA,MAQUINISTA
CI.4.5,RESTO CONSUMOS,MAQUINISTA
CI.4.13,RESTO CONSUMOS,MAQUINISTA
CI.4.14,RESTO CONSUMOS,MAQUINISTA
CI.4.18,FERRETERIA,MAQUINISTA
CI.4.19,FERRETERIA,MAQUINISTA
CI.4.16,GASTOS DESPLAZADOS,MAQUINISTA
CI.4.17,GASTOS DESPLAZADOS,MAQUINISTA
CI.4.20,LIMPIEZA OBRA,MAQUINISTA
CI.7.5,TASAS OCUPACION,MAQUINISTA
