Codigo,Gasto,Categoria
CI.1.1,JEFE DE GRUPO,INDEFINIDO
CI.1.2,JEFE DE OBRA,INDEFINIDO
CI.1.3,ENCARGADO,INDEFINIDO
CI.1.3.1,ENCARGADO,INDEFINIDO
CI.1.4,JEFE PRODUCCIÓN,INDEFINIDO
CI.1.5,ADMINISTRATIVO,INDEFINIDO
CL.1.10,GRUISTA,PEÓN APOYO
CI.1.13,VIGILANTE SEGURIDAD,PEÓN APOYO
CL.1.16,TECNICO PREVENCION,PEÓN APOYO
CL.1.17,INGENIERO INSTALACIONES,PEÓN APOYO
CI.2.2,CASETAS,PEÓN APOYO
CI.03P.9,VEHICULOS,PEÓN APOYO
CI.03A.3,ANDAMIOS/PLATAFORMAS,PEÓN APOYO
CI.03A.6,GRUPO ELECTRÓGENO,PEÓN APOYO
CI.03A.10,ALQUILER MAQUINARIA,CAMIÓN GRUA
CI.03A.12,MANITOU,CAMIÓN GRUA
CI.03A.1,ALQUILER GRUA TORRE,CAMIÓN GRUA
CI.03A.1A,ALQUILER GRUA TORRE,CAMIÓN GRUA
CI.4.9,AGUA,COMBUSTIBLES
CI.4.15,CAJA DE OBRA,ELECTRICIDAD
CI.4.6,REPROGRAFÍA/PAPELERIA,ELECTRICIDAD
CI.4.8,REPROGRAFÍA/PAPELERIA,ELECTRICIDAD
CI.4.5,RESTO CONSUMOS,ELECTRICIDAD
CI.4.13,RESTO CONSUMOS,ELECTRICIDAD
CI.4.14,RESTO CONSUMOS,ELECTRICIDAD
CI.4.18,FERRETERIA,ELECTRICIDAD
CI.4.18.1,FERRETERIA,ELECTRICIDAD
CI.4.20,GASTOS DESPLAZADOS,ELECTRICIDAD
CI.4.21,GASTOS DESPLAZADOS,ELECTRICIDAD
