Codigo,Gasto,Categoria
CI.1.0,INDIRECTOS PREVIOS,INDEFINIDO
CI.1.1,JEFE DE GRUPO,INDEFINIDO
CI.1.2,JEFE DE OBRA,INDEFINIDO
CI.1.3,ENCARGADO,INDEFINIDO
CI.1.5,ADMINISTRATIVO,JEFE PRODUCCIÓN
CI.1.6,TOPOGRAFIA,JEFE PRODUCCIÓN
CI.1.9,OFICIAL APOYO,CAPATAZ
CL.1.10,GRUISTA,PEÓN APOYO
CI.1.13,VIGILANTE SEGURIDAD,PEÓN APOYO
CL.1.16,TECNICO PREVENCION,PEÓN APOYO
CL.1.17,INGENIERO INSTALACIONES,PEÓN APOYO
CI.03P.9,VEHICULOS,PEÓN APOYO
CI.03A.7,CONTENEDORES,GRUPO ELECTRÓGENO
CI.03A.8,CAMIÓN GRUA,GRUPO ELECTRÓGENO
CI.03A.10,ALQUILER MAQUINARIA,GRUPO ELECTRÓGENO
CI.03A.2,MEDIOS AUXILIARES,GRUPO ELECTRÓGENO
CI.03A.1,ALQUILER GRUA TORRE,GRUPO ELECTRÓGENO
CI.4.1,COMBUSTIBLES,GRUPO ELECTRÓGENO
CI.4.2,AGUA,GRUPO ELECTRÓGENO
CI.4.3,ELECTRICIDAD,GRUPO ELECTRÓGENO
CI.4.15,CAJA DE OBRA,GRUPO ELECTRÓGENO
CI.4.6,REPROGRAFÍA/PAPELERIA,GRUPO ELECTRÓGENO
CI.4.1,REPROGRAFÍA/PAPELERIA,GRUPO ELECTRÓGENO
CI.4.5,RESTO CONSUMOS,GRUPO ELECTRÓGENO
CI.4.13,RESTO CONSUMOS,GRUPO ELECTRÓGENO
CI.4.14,RESTO CONSUMOS,GRUPO ELECTRÓGENO
CI.4.18,FERRETERIA,GRUPO ELECTRÓGENO
CI.4.19,PALETS,ALQUILER PISO
CI.7.3,TASAS OCUPACIÓN Y VEHICULO,TASAS OCUPACIÓN
