Codigo,Gasto,Categoria
CI.1.1,JEFE DE GRUPO,INDEFINIDO
CL.1.2,JEFE DE OBRA,INDEFINIDO
CI.1.3,ENCARGADO,INDEFINIDO
CL.1.6,TOPOGRAFIA,INDEFINIDO
CL.1.17,INGENIERO INSTALACIONES,TECNICO PREVENCION
CI.2.4,IMAGEN CORPORATIVA,TECNICO PREVENCION
CI.2.7,GASTOS ESTABLECIMIENTO,TECNICO PREVENCION
CI.03P.9,VEHICULOS,TECNICO PREVENCION
CI.4.1,COMBUSTIBLES,MEDIOS AUXILIARES
CI.4.15,CAJA DE OBRA,ELECTRICIDAD
CI.4.5,RESTO CONSUMOS,REPROGRAFÍA/PAPELERIA
CI.4.13,RESTO CONSUMOS,REPROGRAFÍA/PAPELERIA
CI.4.14,RESTO CONSUMOS,REPROGRAFÍA/PAPELERIA
CI.4.20,VIAJES Y DESPLAZAMIENTOS,FERRETERIA
