Codigo,Gasto,Categoria
CI.1.1,JEFE DE GRUPO,INDEFINIDO
CI.1.2,JEFE DE OBRA,INDEFINIDO
CI.1.3,ENCARGADO,INDEFINIDO
CI.1.4,JEFE PRODUCCIÓN,INDEFINIDO
CI.1.5,ADMINISTRATIVO,INDEFINIDO
CI.1.6,TOPOGRAFIA,INDEFINIDO
CI.1.10,OFICIAL GRUISTA,CAPATAZ
CI.1.12,OFICIAL GRUISTA,CAPATAZ
CI.1.11,OFICIAL APOYO,CAPATAZ
CI.1.13,VIGILANTE DE SEGURIDAD,CAPATAZ
CI.1.16,TECNICO PREVENCION,CAPATAZ
CI.1.17,INGENIERO INSTALACIONES,CAPATAZ
CI.1.18,INGENIERO ESTRUCTURAS,CAPATAZ
CI.03P.9,VEHICULOS,CAPATAZ
CI.03A.2,ANDAMIOS/PLATAFORMAS,CAPATAZ
CI.03A.3,ANDAMIOS/PLATAFORMAS,CAPATAZ
CI.03A.6,GRUPO ELECTRÓGENO,CAPATAZ
CI.03A.7,CONTENEDORES,CAPATAZ
CI.03A.4,MONTACARGAS,CAPATAZ
CI.03A.8,CAMION GRUA/GRUA MOVIL,CAPATAZ
CI.03A.10,ALQUILER MAQUINARIA,CAPATAZ
CI.03A.12,MANITOU,CAPATAZ
CI.03A.1,ALQUILER GRUA TORRE,CAPATAZ
CI.4.1,COMBUSTIBLES,CAPATAZ
CI.4.2,AGUA,CAPATAZ
CI.4.3,ELECTRICIDAD,CAPATAZ
CI.4.15,CAJA DE OBRA,CAPATAZ
CI.4.5,RESTO CONSUMOS,REPROGRAFÍA/PAPELERIA
CI.4.13,RESTO CONSUMOS,REPROGRAFÍA/PAPELERIA
CI.4.18,FERRETERIA,REPROGRAFÍA/PAPELERIA
CI.4.16,GASTOS DESPLAZADOS,REPROGRAFÍA/PAPELERIA
CI.4.17,GASTOS DESPLAZADOS,REPROGRAFÍA/PAPELERIA
CI.7.5,ARREGLO VEHICULO DAÑADO,LIMPIEZA CASETAS
