Codigo,Gasto,Categoria
CI.1.1,JEFE DE GRUPO,INDEFINIDO
CI.1.2,JEFE DE OBRA,INDEFINIDO
CI.1.3,ENCARGADO,INDEFINIDO
CI.1.4,JEFE PRODUCCIÓN,INDEFINIDO
CI.4.1,JEFE PRODUCCIÓN,INDEFINIDO
CI.1.7,JEFE PRODUCCIÓN,INDEFINIDO
CI.1.5,ADMINISTRATIVO,INDEFINIDO
CI.1.6,TOPOGRAFIA,INDEFINIDO
CI.1.8,CAPATAZ,INDEFINIDO
CI.1.9,OFICIAL APOYO,INDEFINIDO
CL.1.10,GRUISTA,INDEFINIDO
CI.1.11,PEÓN APOYO,INDEFINIDO
CI.1.13,VIGILANTE SEGURIDAD,INDEFINIDO
CI.1.16,TECNICO PREVENCION,INDEFINIDO
CI.1.17,INGENIERO INSTALACIONES,INDEFINIDO
CI.03P.9,VEHICULOS,INDEFINIDO
CI.03A.3,ANDAMIOS/PLATAFORMAS,INDEFINIDO
CI.03A.2,MEDIOS AUXILIARES,INDEFINIDO
CI.03A.7,CONTENEDORES,INDEFINIDO
CI.03A.8,CAMIÓN GRUA,INDEFINIDO
CI.03A.5,ALQUILER MAQUINARIA,INDEFINIDO
CI.03A.10,ALQUILER MAQUINARIA,INDEFINIDO
CI.03A.14,TORITO Y DUMPER,INDEFINIDO
CI.03A.1,GRUA TORRE,INDEFINIDO
CI.4.1,COMBUSTIBLES,INDEFINIDO
CI.4.2,AGUA,INDEFINIDO
CI.4.3,ELECTRICIDAD,INDEFINIDO
CI.4.15,CAJA DE OBRA,INDEFINIDO
CI.4.6,REPROGRAFÍA/PAPELERIA,INDEFINIDO
CI.4.8,REPROGRAFÍA/PAPELERIA,INDEFINIDO
CI.4.5,RESTO CONSUMOS,INDEFINIDO
CI.4.13,RESTO CONSUMOS,INDEFINIDO
CI.4.14,RESTO CONSUMOS,INDEFINIDO
CI.4.18,FERRETERIA,INDEFINIDO
CI.4.20,LIMPIEZA OBRA,INDEFINIDO
CI.4.19,PALETS,INDEFINIDO
CI.4.21,ROBO EN OBRA,INDEFINIDO
CI.7.3,TASAS OCUPACIÓN Y VEHICULO,INDEFINIDO
