Codigo,Gasto,Categoria
CI.1.1,JEFE DE GRUPO,INDEFINIDO
CI.1.2,JEFE DE OBRA,INDEFINIDO
CI.1.3,ENCARGADO,INDEFINIDO
CI.1.4,JEFE PRODUCCIÓN,INDEFINIDO
CI.1.5,ADMINISTRATIVO,INDEFINIDO
CI.1.6,TOPOGRAFIA,INDEFINIDO
CI.1.9,OFICIAL APOYO,CAPATAZ
CI.1.11,OFICIAL APOYO,CAPATAZ
CL.1.16,TECNICO PREVENCION,VIGILANTE SEGURIDAD
CL.1.17,INGENIERO INSTALACIONES,VIGILANTE SEGURIDAD
CI.03P.9,VEHICULOS,VIGILANTE SEGURIDAD
CI.03A.3,ANDAMIOS/PLATAFORMAS,VIGILANTE SEGURIDAD
CI.03A.8,CAMIÓN GRUA,CONTENEDORES
CI.03A.10,ALQUILER MAQUINARIA,CONTENEDORES
CI.03A.12,MANITOU,CONTENEDORES
CI.4.1,COMBUSTIBLES,MEDIOS AUXILIARES
CI.4.2,AGUA,MEDIOS AUXILIARES
CI.4.15,CAJA DE OBRA,ELECTRICIDAD
CI.4.5,RESTO CONSUMOS,REPROGRAFÍA/PAPELERIA
CI.4.13,RESTO CONSUMOS,REPROGRAFÍA/PAPELERIA
CI.4.14,RESTO CONSUMOS,REPROGRAFÍA/PAPELERIA
CI.4.18,FERRETERIA,REPROGRAFÍA/PAPELERIA
CI.4.16,GASTOS DESPLAZADOS,REPROGRAFÍA/PAPELERIA
CI.4.19,PALETS,REPROGRAFÍA/PAPELERIA
CI.7.5,SANCIÓN AYTO,REPROGRAFÍA/PAPELERIA
