Codigo,Gasto,Categoria
CI.0,INDIRECTOS PREVIOS,INDEFINIDO
CI.1.1,JEFE DE GRUPO,INDEFINIDO
CI.1.2,JEFE DE OBRA,INDEFINIDO
CI.1.3,ENCARGADO,INDEFINIDO
CI.1.4,JEFE PRODUCCIÓN,INDEFINIDO
CI.1.5,ADMINISTRATIVO,INDEFINIDO
CI.1.6,TOPOGRAFIA,INDEFINIDO
CI.1.9,OFICIAL APOYO,CAPATAZ
CI.1.11,PEÓN APOYO,CAPATAZ
CI.1.19,TECNICO BREEAM,CAPATAZ
CI.1.13,VIGILANTE SEGURIDAD,CAPATAZ
CI.1.16,TECNICO PREVENCION,CAPATAZ
CI.1.17,INGENIERO INSTALACIONES,CAPATAZ
CI.03P.9,VEHICULOS,CAPATAZ
CI.03A.3,ANDAMIOS/PLATAFORMAS,CAPATAZ
CI.03A.10,ALQUILER MAQUINARIA,CAMIÓN GRUA
CI.4.1,COMBUSTIBLES,MEDIOS AUXILIARES
CI.4.2,AGUA,MEDIOS AUXILIARES
CI.4.3,ELECTRICIDAD,MEDIOS AUXILIARES
CI.4.15,CAJA DE OBRA,MEDIOS AUXILIARES
CI.4.6,REPROGRAFÍA/PAPELERIA,MEDIOS AUXILIARES
CI.4.8,REPROGRAFÍA/PAPELERIA,MEDIOS AUXILIARES
CI.4.5,RESTO CONSUMOS,MEDIOS AUXILIARES
CI.4.13,RESTO CONSUMOS,MEDIOS AUXILIARES
CI.4.14,RESTO CONSUMOS,MEDIOS AUXILIARES
CI.4.18,FERRETERIA,MEDIOS AUXILIARES
CI.4.20,VIAJES Y DESPLAZAMIENTOS,MEDIOS AUXILIARES
CI.4.21,VIAJES Y DESPLAZAMIENTOS,MEDIOS AUXILIARES
CI.4.22,CAMARAS DE VIGILANCIA,MEDIOS AUXILIARES
CI.7.3,TASAS OCUPACIÓN Y VEHICULO,MEDIOS AUXILIARES
CI.7.5,TASAS OCUPACIÓN Y VEHICULO,MEDIOS AUXILIARES
