Codigo,Gasto,Categoria
CI.1.1,JEFE DE GRUPO,INDEFINIDO
CI.1.2,JEFE DE OBRA,INDEFINIDO
CI.1.3,ENCARGADO,INDEFINIDO
CI.1.5,ADMINISTRATIVO,JEFE PRODUCCIÓN
CI.1.6,TOPOGRAFIA,JEFE PRODUCCIÓN
CI.1.8,CAPATAZ,JEFE PRODUCCIÓN
CI.1.9,OFICIAL APOYO,JEFE PRODUCCIÓN
CI.1.11,OFICIAL APOYO,JEFE PRODUCCIÓN
CL.1.10,GRUISTA,PEÓN APOYO
CI.1.13,VIGILANTE SEGURIDAD,PEÓN APOYO
CL.1.16,TECNICO PREVENCION,PEÓN APOYO
CL.1.17,INGENIERO INSTALACIONES,PEÓN APOYO
CI.03P.9,VEHICULOS,PEÓN APOYO
CI.03A.6,GRUPO ELECTRÓGENO,ANDAMIOS/PLATAFORMAS
CI.03A.8,CAMIÓN GRUA,CONTENEDORES
CI.03A.5,ALQUILER MAQUINARIA,CONTENEDORES
CI.03A.10,ALQUILER MAQUINARIA,CONTENEDORES
CI.03A.1,ALQUILER GRÚA TORRE,CONTENEDORES
CI.03A.2,MEDIOS AUXILIARES,CONTENEDORES
CI.4.1,COMBUSTIBLES,CONTENEDORES
CI.4.2,AGUA,CONTENEDORES
CI.4.15,CAJA DE OBRA,ELECTRICIDAD
CI.4.6,REPROGRAFÍA/PAPELERIA,ELECTRICIDAD
CI.4.8,REPROGRAFÍA/PAPELERIA,ELECTRICIDAD
CI.4.5,RESTO CONSUMOS,ELECTRICIDAD
CI.4.13,RESTO CONSUMOS,ELECTRICIDAD
CI.4.14,RESTO CONSUMOS,ELECTRICIDAD
CI.4.18,FERRETERIA,ELECTRICIDAD
CI.4.17,GASTOS DESPLAZADOS,ELECTRICIDAD
CI.4.21,GASTOS DESPLAZADOS,ELECTRICIDAD
CI.4.19,PALETS,ELECTRICIDAD
CI.7.3,TASAS OCUPACIÓN Y VEHICULO,ELECTRICIDAD
