Codigo,Gasto,Categoria
CI.1.0,COSTES PREVIOS,INDEFINIDO
CI.1.1,JEFE DE GRUPO,INDEFINIDO
CI.1.2,JEFE DE OBRA,INDEFINIDO
CI.1.3,ENCARGADO,INDEFINIDO
CI.1.3B,ENCARGADO,INDEFINIDO
CI.1.4,JEFE PRODUCCIÓN,INDEFINIDO
CI.1.5,ADMINISTRATIVO,INDEFINIDO
CI.1.6,TOPOGRAFIA,INDEFINIDO
CI.1.7,RESPONSABLE PRODUCCIÓN,INDEFINIDO
CI.1.8,CAPATAZ,INDEFINIDO
CL.1.9RUESMA,OFICIAL APOYO,INDEFINIDO
CI.1.9,OFICIAL APOYO,INDEFINIDO
CI.1.11,PEÓN APOYO,INDEFINIDO
CL.1.10,GRUISTA,INDEFINIDO
CL.1.16,TECNICO PREVENCION,VIGILANTE SEGURIDAD
CL.1.17,INGENIERO INSTALACIONES,VIGILANTE SEGURIDAD
CL.1.18,TECNICO BIM,VIGILANTE SEGURIDAD
CL.1.19,TECNICO LEED,VIGILANTE SEGURIDAD
CL.1.20,PLATAFORMA REVIT,VIGILANTE SEGURIDAD
CI.1.21,MAQUINISTA,VIGILANTE SEGURIDAD
CI.03P.9,VEHICULOS,VIGILANTE SEGURIDAD
CI.03A.2,ANDAMIOS/PLATAFORMAS,VIGILANTE SEGURIDAD
CI.03A.6,GRUPO ELECTRÓGENO,VIGILANTE SEGURIDAD
CI.03A.7,CONTENEDORES,VIGILANTE SEGURIDAD
CI.03A.8,CAMIÓN GRUA,VIGILANTE SEGURIDAD
CI.03A.10,ALQUILER MAQUINARIA,VIGILANTE SEGURIDAD
CI.03A.12,MANITOU,VIGILANTE SEGURIDAD
CI.03A.1,GRUA TORRE,VIGILANTE SEGURIDAD
CI.4.1,COMBUSTIBLES,VIGILANTE SEGURIDAD
CI.4.1B,COMBUSTIBLES,VIGILANTE SEGURIDAD
CI.4.2,AGUA,VIGILANTE SEGURIDAD
CI.4.9,AGUA,VIGILANTE SEGURIDAD
CI.4.3,ELECTRICIDAD,VIGILANTE SEGURIDAD
CI.4.15,CAJA DE OBRA,VIGILANTE SEGURIDAD
CI.4.6,REPROGRAFÍA/PAPELERIA,VIGILANTE SEGURIDAD
CI.4.7,REPROGRAFÍA/PAPELERIA,VIGILANTE SEGURIDAD
CI.4.8,REPROGRAFÍA/PAPELERIA,VIGILANTE SEGURIDAD
CI.4.5,RESTO CONSUMOS,VIGILANTE SEGURIDAD
CI.4.13,RESTO CONSUMOS,VIGILANTE SEGURIDAD
CI.4.14,RESTO CONSUMOS,VIGILANTE SEGURIDAD
CI.4.18,FERRETERIA,VIGILANTE SEGURIDAD
CI.4.19,PALETS,ALQUILER PISO
