Codigo,Gasto,Categoria
CI.1.1,JEFE DE GRUPO,INDEFINIDO
CI.1.2,JEFE DE OBRA,INDEFINIDO
CI.1.3,ENCARGADO,INDEFINIDO
CI.1.5,ADMINISTRATIVO,JEFE PRODUCCIÓN
CI.1.6,TOPOGRAFIA,JEFE PRODUCCIÓN
CI.1.8,CAPATAZ,JEFE PRODUCCIÓN
CI.1.9,OFICIAL APOYO,JEFE PRODUCCIÓN
CI.1.10,OFICIAL GRUISTA,JEFE PRODUCCIÓN
CI.1.11,PEÓN APOYO,JEFE PRODUCCIÓN
CI.1.12,MAQUINISTA,JEFE PRODUCCIÓN
CI.1.13,VIGILANTE SEGURIDAD,JEFE PRODUCCIÓN
CI.1.16,TECNICO PREVENCION,JEFE PRODUCCIÓN
CI.1.17,INGENIERO INSTALACIONES,JEFE PRODUCCIÓN
CI.03P.9,VEHICULOS,JEFE PRODUCCIÓN
CI.03A.7,CONTENEDORES,GRUPO ELECTRÓGENO
CI.03A.8,CAMION GRUA,GRUPO ELECTRÓGENO
CI.03A.10,ALQUILER MAQUINARIA,GRUPO ELECTRÓGENO
CI.03A.12,MANITOU,GRUPO ELECTRÓGENO
CI.4.1,COMBUSTIBLES,ALQUILER GRUA TORRE
CI.4.2,AGUA,ALQUILER GRUA TORRE
CI.4.3,ELECTRICIDAD,ALQUILER GRUA TORRE
CI.4.15,CAJA DE OBRA,ALQUILER GRUA TORRE
CI.4.6,REPROGRAFÍA/PAPELERIA,ALQUILER GRUA TORRE
CI.4.7,REPROGRAFÍA/PAPELERIA,ALQUILER GRUA TORRE
CI.4.5,RESTO CONSUMOS,ALQUILER GRUA TORRE
CI.4.13,RESTO CONSUMOS,ALQUILER GRUA TORRE
CI.4.14,RESTO CONSUMOS,ALQUILER GRUA TORRE
CI.4.18,FERRETERIA,ALQUILER GRUA TORRE
CI.4.19,PALETS,LIMPIEZA CASETAS
