Codigo,Gasto,Categoria
CI.1.1,JEFE DE GRUPO,INDEFINIDO
CI.1.2,JEFE DE OBRA,INDEFINIDO
CI.1.3,ENCARGADO,INDEFINIDO
CI.1.4,JEFE PRODUCCIÓN,INDEFINIDO
CI.1.5,ADMINISTRATIVO,INDEFINIDO
CI.1.6,TOPOGRAFIA,INDEFINIDO
CI.1.8,CAPATAZ,INDEFINIDO
CI.1.10,OFICIAL GRUISTA,INDEFINIDO
CI.1.9,PEÓN APOYO,INDEFINIDO
CI.1.12,MAQUINISTA,INDEFINIDO
CI.1.13,VIGILANTE SEGURIDAD,INDEFINIDO
CI.1.16,TECNICO PREVENCION,INDEFINIDO
CI.1.17,INGENIERO INSTALACIONES,INDEFINIDO
CI.03P.9,VEHICULOS,LIMPIEZA FINAL PARCELA
CI.03A.3,ANDAMIOS/PLATAFORMAS,LIMPIEZA FINAL PARCELA
CI.03P.5,ALQUILER MAQUINARIA,MAQUINA MIXTA
CI.03A.10,ALQUILER MAQUINARIA,MAQUINA MIXTA
CI.03A.1,ALQUILER GRUA TORRE,MANITOU
CI.4.1,COMBUSTIBLES,MANITOU
CI.4.9,AGUA,MANITOU
CI.4.3,ELECTRICIDAD,MANITOU
CI.4.15,CAJA DE OBRA,MANITOU
CI.4.6,REPROGRAFÍA/PAPELERIA,MANITOU
CI.4.8,REPROGRAFÍA/PAPELERIA,MANITOU
CI.4.5,RESTO CONSUMOS,MANITOU
CI.4.13,RESTO CONSUMOS,MANITOU
CI.4.14,RESTO CONSUMOS,MANITOU
CI.4.18,FERRETERIA,MANITOU
CI.4.19,PALETS,MANITOU
