Codigo,Gasto,Categoria
CI.1.1,JEFE DE GRUPO,INDEFINIDO
CI.1.2,JEFE DE OBRA,INDEFINIDO
CI.1.3,ENCARGADO,INDEFINIDO
CI.1.4,JEFE PRODUCCIÓN,JEFE PRODUCCIÓN
CI.1.5,ADMINISTRATIVO,ADMINISTRATIVO
CI.1.6,TOPOGRAFIA,ADMINISTRATIVO
CI.1.8,CAPATAZ,CAPATAZ
CI.1.9,OFICIAL APOYO,OFICIAL APOYO
CI.1.11,PEÓN APOYO,OFICIAL APOYO
CI.1.12,MAQUINISTA,OFICIAL APOYO
CI.1.13,VIGILANTE SEGURIDAD,VIGILANTE SEGURIDAD
CI.1.16,TECNICO PREVENCION,VIGILANTE SEGURIDAD
CI.1.17,INGENIERO INSTALACIONES,VIGILANTE SEGURIDAD
CI.03P.9,VEHICULOS,INGENIERO INSTALACIONES
CI.03A.3,ANDAMIOS/PLATAFORMAS,INGENIERO INSTALACIONES
CI.03A.15,ANDAMIOS/PLATAFORMAS,INGENIERO INSTALACIONES
CI.03A.6,GRUPO ELECTRÓGENO,INGENIERO INSTALACIONES
CI.03A.7,CONTENEDORES,INGENIERO INSTALACIONES
CI.03A.2,MEDIOS AUXILIARES,INGENIERO INSTALACIONES
CI.03A.5,ALQUILER MAQUINARIA,INGENIERO INSTALACIONES
CI.03A.10,ALQUILER MAQUINARIA,INGENIERO INSTALACIONES
CI.03A.1,ALQUILER GRÚA TORRE,MANITOU
CI.4.1,COMBUSTIBLES,MANITOU
CI.4.2,AGUA,MANITOU
CI.4.3,ELECTRICIDAD,MANITOU
CI.4.15,CAJA DE OBRA,MANITOU
CI.4.16,CAJA DE OBRA,MANITOU
CI.4.5,RESTO CONSUMOS,REPROGRAFÍA/PAPELERIA
CI.4.13,RESTO CONSUMOS,REPROGRAFÍA/PAPELERIA
CI.4.14,RESTO CONSUMOS,REPROGRAFÍA/PAPELERIA
CI.4.18,FERRETERIA,REPROGRAFÍA/PAPELERIA
CI.4.19,PALETS,VIAJES Y DESPLAZAMIENTOS
CI.7.3,TASAS OCUPACIÓN Y VEHICULO,VIAJES Y DESPLAZAMIENTOS
CI.7.5,TASAS OCUPACIÓN Y VEHICULO,VIAJES Y DESPLAZAMIENTOS
